Generated On,Energy Yield (kWh),Irradiance(W/m²),Temp ( c ) ,Rain (mm),Wind (kn),Income,Wind (km/hr),Dust (ug/m3)
"2020-12-14	",69.61,13050,26.5,0,8,278.44,14.816,14
"2020-12-15	",70.73,10916,26.2,1.1,14,282.92,25.928,13
"2020-12-16	",46.97,8055,25.6,3.5,12,187.88,22.224,9
"2020-12-17	",44.16,6862,25.6,5.9,16,176.64,29.632,10
"2020-12-18	",46.28,7396,25.8,0.7,13,185.12,24.076,10
"2020-12-19	",63.85,9765,26.2,3.6,15,255.4,27.78,13
"2020-12-20	",48.37,7301,25.8,0.4,19,193.48,35.188,11
"2020-12-21	",48.34,7474,24.6,0,18,193.36,33.336,12
"2020-12-22	",75.15,10746,24.4,0,15,300.6,27.78,24
"2020-12-23	",36.69,5834,23.3,0.6,13,146.76,24.076,29
"2020-12-24	",6.93,1344,23.6,8.5,8,27.72,14.816,31
"2020-12-25	",79.25,11100,26,0.6,10,317,18.52 ,22
"2020-12-26	",85.6,11560,26.6,3.2,12,342.4,22.224,8
"2020-12-27	",109.19,17863,26.9,0,14,436.76,25.928,9
"2020-12-28	",112,17463,26.5,0,12,448,22.224,11
"2020-12-29	",117.51,18118,26.6,0,11,470.04,20.37,12
"2020-12-30	",97.83,14918,26.9,4.4,12,391.32,22.224,15
"2020-12-31	",51.33,8819,24.9,2.1,16,205.32,29.632,17
